Country	Sector	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Belgium	Agriculture, forestry and fishing	3015.00	2932.40	2823.10	2894.80	3036.20	2606.30	2950.00	3049.70	2505.60	2499.10	3080.00	2750.60	3276.40	3017.10	2901.60	3119.10	2884.40	3234.80	3053.90	3446.20	3305.70	3314.10	3929.10	4586.10	4916.90
Belgium	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	5010.70	5083.70	5383.70	5540.70	5926.40	6197.90	6377.70	6615.90	6886.50	6266.00	6369.60	6604.60	6833.70	6992.00	7240.50	7354.20	7538.00	7676.00	8111.80	8473.10	6918.70	7947.80	9231.60	9794.20	10370.80
Belgium	Construction	11796.00	12029.40	12027.00	12369.80	13126.90	13642.30	15356.40	16687.50	18030.40	17486.90	17656.00	18886.00	18736.80	18601.10	18835.30	19017.90	19387.00	19693.80	21064.20	22247.60	21673.20	24533.60	27181.20	29055.60	29222.60
Belgium	Financial and insurance activities	14195.20	13724.20	14477.20	13664.50	15272.50	15393.40	16095.60	15967.80	14684.10	17990.70	19189.40	18816.60	21077.20	20322.10	22359.30	23793.60	24649.20	25627.50	26514.70	27592.70	26747.30	28834.50	29482.60	32402.00	34719.00
Belgium	Industry (except construction)	52154.10	52236.10	52973.30	52943.60	55022.90	56344.90	56631.90	59877.50	57930.10	53760.70	57388.40	59709.20	58833.30	59987.50	60613.70	61915.50	62442.10	65238.90	66074.40	70005.80	66815.90	66537.30	82821.10	81470.20	78719.70
Belgium	Information and communication	8940.00	9950.40	10334.00	10460.70	11072.10	11347.30	11790.50	12550.30	12949.70	13464.10	13936.90	14457.30	14901.50	14504.80	14555.40	15198.50	15764.10	16676.50	17259.10	18636.80	18779.80	20397.90	21990.40	23351.50	24816.40
Belgium	Professional, scientific and technical activities; administrative and support service activities	26016.40	27898.80	27962.10	29164.80	31475.50	33482.00	36154.80	39491.60	41583.90	40768.70	41955.90	44834.20	46194.10	48770.00	51451.60	53910.70	56051.60	59680.70	62913.70	65861.40	64800.80	71587.60	77824.40	82384.60	86261.50
Belgium	Public administration, defence, education, human health and social work activities	44881.60	46968.90	49517.30	51626.10	53519.20	56154.70	58768.00	61493.30	65377.00	68109.40	70249.90	73304.70	76529.90	78702.70	80356.20	80961.40	83221.00	85759.10	89005.40	91944.30	92453.20	99292.60	108441.00	117472.10	122969.40
Belgium	Real estate activities	19379.10	20267.50	20304.40	20684.80	20844.50	22975.30	24762.60	26238.70	26997.70	26909.50	28796.40	30901.10	31701.00	33008.60	33746.50	34645.40	35844.20	37363.80	38814.40	40432.00	41434.30	43691.50	48669.40	53502.40	56394.40
Belgium	Total - all NACE activities	228625.40	236804.20	244560.70	251865.80	264845.40	276828.70	290022.60	306588.90	313984.00	311073.70	324827.00	339303.20	347256.90	353107.00	362940.00	372548.90	382874.70	395972.00	410351.20	429083.20	417994.90	452406.90	508390.30	538959.50	555550.50
Belgium	Wholesale and retail trade, transport, accommodation and food service activities	43237.30	45712.80	48758.60	52516.00	55549.20	58684.60	61135.10	64616.60	67039.00	63818.60	66204.50	69038.90	69173.00	69201.10	70879.90	72632.60	75093.10	75020.90	77539.60	80443.30	75066.00	86270.00	98819.50	104940.80	107159.80
Bosnia and Herzegovina	Agriculture, forestry and fishing	544.00	591.20	634.40	610.30	702.10	748.80	826.00	888.30	940.40	897.30	881.50	906.30	822.90	936.70	832.50	893.00	954.10	883.10	992.40	997.20	1050.20	1004.60	1125.70	1187.70	1114.40
Bosnia and Herzegovina	Arts, entertainment and recreation; other service activities; activities of household and extra-territorial organizations and bodies	107.00	112.80	121.10	135.00	156.80	172.70	193.20	222.90	249.50	252.50	260.70	269.40	280.10	287.80	314.00	329.30	371.10	409.00	429.10	457.90	421.30	494.10	612.50	697.30	745.00
